Region,Excitatory_vs_Inhibitory,Segment,training_cell_count,candidate_class_count,candidate_classes,routing_type
1,excitatory,1,36,1,DH_ex_Reln/Npff,deterministic
1,excitatory,10,96,4,DH_ex_Maf/Cck;DH_ex_Maf/Cpne4;DH_ex_Maf/Slc17a8;DH_ex_Rreb1,specialist
1,excitatory,2,64,2,DH_ex_Gpr83;DH_ex_Grpr,specialist
1,excitatory,3,93,2,DH_ex_Cpne4;DH_ex_Reln/Nmur2,specialist
1,excitatory,5,82,2,DH_ex_Sox5;DH_ex_Sox5/Tac1,specialist
1,excitatory,6,89,3,DH_ex_Grp;DH_ex_Prkcg/Rxfp1;DH_ex_Reln,specialist
1,excitatory,8,181,4,DH_ex_Nmu/Tac2;DH_ex_Prkcg/Cck;DH_ex_Prkcg/Nts;DH_ex_Tac2,specialist
1,inhibitory,10,140,2,DH_in_Cdh3;DH_in_Klhl14,specialist
1,inhibitory,2,59,1,DH_in_Pdyn,deterministic
1,inhibitory,4,59,2,DH_in_Cdh3;DH_in_Npy,specialist
1,inhibitory,5,26,1,DH_in_Pdyn/Gal,deterministic
1,inhibitory,7,29,1,DH_in_Rorb,deterministic
1,inhibitory,9,46,2,DH_in_Kcnip2;DH_in_Npy2r,specialist
2,excitatory,11,133,1,DM_ex_Zfhx3,deterministic
3,excitatory,13,11,1,M_ex_Neurod2,deterministic
3,excitatory,20,49,2,M_ex_Vsx2;M_ex_Vsx2/Shox2,specialist
3,inhibitory,12,73,1,M_in_Tfap2b,deterministic
4,excitatory,14,113,1,MV_ex_Syt2,deterministic
4,excitatory,18,42,1,MV_ex_Shox2,deterministic
4,inhibitory,14,63,1,MV_in_Esrrb,deterministic
4,inhibitory,15,94,1,MV_in_Sema5b,deterministic
4,inhibitory,16,145,1,MV_in_Gabra1,deterministic
4,inhibitory,19,132,2,MV_in_Chrna2;MV_in_Gm26673,specialist
5,inhibitory,17,3,1,VH_in_Chat,deterministic
__MISSING__,__MISSING__,20,8,1,visceral_motoneuron,deterministic
__MISSING__,__MISSING__,21,7,1,cholinergic_interneuron,deterministic
__MISSING__,__MISSING__,22,169,3,alpha_motoneuron;beta_motoneuron;gamma_motoneuron,specialist
__MISSING__,__MISSING__,__MISSING__,2958,16,Schwann_cell;astrocyte_1;astrocyte_2;endothelial;ependymal;meninges_1;meninges_2;meninges_3;microglia;oligodendrocyte_1;oligodendrocyte_2;oligodendrocyte_precursor_cell;oligodendrocyte_progenitor_1;oligodendrocyte_progenitor_2;pericyte;peripheral_glia,specialist
