Cell_ID,true_label,predicted_label,fold
2796212800986100038,oligodendrocyte_2,microglia,1
2656144900112100180,endothelial,endothelial,2
2787445900053200043,pericyte,astrocyte_1,2
2787889600412100201,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2946331700000001467,astrocyte_1,astrocyte_1,1
2945606900000017077,oligodendrocyte_2,oligodendrocyte_2,2
2787445900548100167,astrocyte_1,astrocyte_1,0
2707604000123100134,oligodendrocyte_2,oligodendrocyte_2,0
2795103300156100042,oligodendrocyte_1,oligodendrocyte_1,2
2796212800854100197,astrocyte_1,oligodendrocyte_1,1
2656143800129100068,astrocyte_1,astrocyte_1,0
2787445900512200012,meninges_1,meninges_1,2
2787889600315100079,oligodendrocyte_1,oligodendrocyte_1,0
2787445900618100070,astrocyte_1,astrocyte_2,1
2787889600351100126,astrocyte_1,astrocyte_1,1
2787445900754100137,astrocyte_1,astrocyte_1,2
2707737900021100138,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2787445900126100131,endothelial,endothelial,0
2707604700037200059,pericyte,microglia,1
2795903600372100097,astrocyte_1,astrocyte_1,1
2787445900425100195,astrocyte_1,astrocyte_1,1
2707737900112100022,endothelial,astrocyte_2,2
2707604000109100211,pericyte,endothelial,2
2656144900058100068,peripheral_glia,Schwann_cell,0
2796212800456100305,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2796212800760100272,oligodendrocyte_precursor_cell,oligodendrocyte_precursor_cell,1
2787889600196100010,oligodendrocyte_2,oligodendrocyte_2,2
2795584800411100147,astrocyte_1,astrocyte_1,0
2795584800420100182,oligodendrocyte_1,oligodendrocyte_1,0
2787445900389100156,pericyte,oligodendrocyte_2,0
2795103300382100107,astrocyte_1,oligodendrocyte_progenitor_2,1
2656144900504100204,endothelial,endothelial,0
2787445900933100079,astrocyte_1,astrocyte_1,0
2945606900000006599,endothelial,astrocyte_1,0
2795903600435200091,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2787445900659100022,astrocyte_1,astrocyte_1,0
2787445900437100077,oligodendrocyte_2,oligodendrocyte_progenitor_2,0
2787445900896100105,oligodendrocyte_progenitor_2,oligodendrocyte_2,1
2945606900000003404,pericyte,astrocyte_1,1
2795903600518100164,astrocyte_2,astrocyte_1,0
2787889600479100206,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2707604700106100095,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2656143800213200032,astrocyte_2,astrocyte_2,0
2945606900000014789,astrocyte_1,astrocyte_1,1
2787889600384200032,oligodendrocyte_1,oligodendrocyte_progenitor_2,0
2787889600058100120,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2707604700035100093,astrocyte_1,astrocyte_1,1
2656144900530100093,oligodendrocyte_progenitor_2,oligodendrocyte_1,0
2707737900007100130,oligodendrocyte_2,oligodendrocyte_progenitor_2,2
2795903600089100200,astrocyte_1,astrocyte_1,0
2795103300182100065,oligodendrocyte_progenitor_1,oligodendrocyte_precursor_cell,0
2796212800488100280,astrocyte_1,oligodendrocyte_progenitor_2,1
2795103300156100200,oligodendrocyte_progenitor_2,oligodendrocyte_1,1
2707737900086100132,oligodendrocyte_progenitor_2,oligodendrocyte_1,1
2946331700000020454,astrocyte_1,astrocyte_1,1
2656143800368100034,endothelial,endothelial,2
2795103300193100190,oligodendrocyte_progenitor_2,endothelial,1
2787445900250100079,oligodendrocyte_2,oligodendrocyte_2,2
2726562700118100166,endothelial,astrocyte_1,1
2787445900051100104,astrocyte_1,astrocyte_1,0
2796212800627100042,oligodendrocyte_progenitor_2,oligodendrocyte_1,1
2787889600094100080,astrocyte_1,astrocyte_1,0
2787445900268100092,endothelial,endothelial,2
2707604700083200126,oligodendrocyte_progenitor_2,oligodendrocyte_1,2
2726544600219100117,oligodendrocyte_1,oligodendrocyte_1,0
2707604000038100061,oligodendrocyte_1,oligodendrocyte_progenitor_2,2
2787445900718100163,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2787445900090100096,astrocyte_1,oligodendrocyte_progenitor_2,1
2707604700318100119,astrocyte_1,astrocyte_1,0
2787889600445200006,astrocyte_1,astrocyte_1,1
2656143800192100146,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2795584800419100280,endothelial,endothelial,0
2656144900185100150,microglia,astrocyte_1,1
2656144900111100020,astrocyte_1,astrocyte_1,0
2656144900566100073,oligodendrocyte_2,oligodendrocyte_2,1
2707604700318100044,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2787889600279100150,endothelial,endothelial,2
2795903600380200032,oligodendrocyte_2,oligodendrocyte_progenitor_2,0
2796212800452100117,astrocyte_2,astrocyte_2,1
2946331700000003422,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2787445900398100118,pericyte,endothelial,1
2787445900096100030,astrocyte_2,astrocyte_2,2
2946331700000010493,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_1,1
2946331700000003596,microglia,microglia,0
2946331700000003340,oligodendrocyte_2,oligodendrocyte_2,0
2796212800406100093,endothelial,endothelial,2
2656144900535100149,astrocyte_2,oligodendrocyte_progenitor_2,2
2796212800920100156,oligodendrocyte_1,oligodendrocyte_progenitor_2,2
2656143800129100146,astrocyte_1,astrocyte_1,0
2796212800305100059,astrocyte_1,astrocyte_1,0
2795103300345100017,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2795584800448100083,endothelial,astrocyte_1,2
2787445900836100086,astrocyte_2,astrocyte_2,1
2787445900167100052,microglia,microglia,2
2787445900127100075,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2656143800443100175,oligodendrocyte_progenitor_2,oligodendrocyte_1,2
2656144900167100041,astrocyte_1,astrocyte_1,2
2656143800215100118,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2795103300405100111,oligodendrocyte_progenitor_2,astrocyte_2,2
2707604700132100199,astrocyte_1,astrocyte_1,2
2795903600516100151,endothelial,astrocyte_1,1
2946331700000011126,astrocyte_1,astrocyte_1,2
2656144900297200042,meninges_1,pericyte,2
2796212800920100186,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2796212801076100088,meninges_2,meninges_1,2
2787889600361100176,astrocyte_1,astrocyte_1,0
2656144900423100118,astrocyte_1,astrocyte_1,0
2656144900479100069,oligodendrocyte_2,oligodendrocyte_progenitor_2,0
2656144900588100091,oligodendrocyte_2,oligodendrocyte_2,0
2707737900049100026,oligodendrocyte_1,oligodendrocyte_progenitor_2,1
2796212800355100039,oligodendrocyte_1,oligodendrocyte_progenitor_2,2
2656144900584100215,oligodendrocyte_1,oligodendrocyte_1,0
2787445900231100134,astrocyte_1,astrocyte_2,0
2795584800400100402,oligodendrocyte_progenitor_2,astrocyte_1,2
2707604800280100016,Schwann_cell,Schwann_cell,2
2707604000054100060,astrocyte_1,endothelial,2
2795903600354100114,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2795903600641100239,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_1,0
2707737900021200024,ependymal,ependymal,1
2707737900021100149,oligodendrocyte_1,endothelial,1
2795903600517100085,endothelial,endothelial,1
2787445900752100165,endothelial,endothelial,1
2656144900166100113,astrocyte_1,astrocyte_1,1
2787445900580100145,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2656144900190100266,oligodendrocyte_progenitor_2,endothelial,2
2787889600362100215,oligodendrocyte_1,astrocyte_1,1
2796212800563100112,astrocyte_2,astrocyte_2,0
2787445900861100089,astrocyte_1,astrocyte_1,1
2795903600462100093,endothelial,endothelial,2
2795903600694200027,oligodendrocyte_1,oligodendrocyte_1,1
2795103300160100095,oligodendrocyte_1,oligodendrocyte_progenitor_2,2
2787445900252100013,astrocyte_2,astrocyte_2,1
2787889600583100038,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2796212800142100152,endothelial,endothelial,2
2707604700200100133,astrocyte_1,astrocyte_1,0
2787445900087100060,astrocyte_2,astrocyte_1,2
2787445900752100043,astrocyte_1,astrocyte_1,2
2656144300162100014,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2707604000086100021,astrocyte_1,astrocyte_1,0
2787889600518100079,oligodendrocyte_2,oligodendrocyte_2,1
2787445900360100208,astrocyte_1,oligodendrocyte_progenitor_2,1
2707604700106100156,oligodendrocyte_2,oligodendrocyte_2,0
2707737900110100007,astrocyte_2,astrocyte_1,2
2795903600348100132,oligodendrocyte_2,oligodendrocyte_2,1
2795584800419100108,oligodendrocyte_2,oligodendrocyte_2,2
2656143800393200013,astrocyte_1,astrocyte_1,2
2945606900000028496,endothelial,astrocyte_1,2
2795103300410100288,oligodendrocyte_1,oligodendrocyte_progenitor_2,1
2796212800536100091,Schwann_cell,Schwann_cell,2
2787445900698100134,oligodendrocyte_2,oligodendrocyte_1,2
2787445900660100194,endothelial,oligodendrocyte_progenitor_2,0
2787445900095100103,oligodendrocyte_progenitor_2,oligodendrocyte_2,2
2787445900432100051,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2787889600094100239,endothelial,endothelial,0
2787889600518100141,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2707604000057100275,oligodendrocyte_2,oligodendrocyte_2,2
2656144900110100072,astrocyte_1,endothelial,0
2787445900685100065,astrocyte_2,astrocyte_2,0
2795584800388100087,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2787889600478100046,astrocyte_1,astrocyte_1,2
2795103300181100070,oligodendrocyte_1,astrocyte_1,2
2707737900120100153,oligodendrocyte_1,oligodendrocyte_progenitor_2,2
2707604700363100162,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2787445900126100072,endothelial,endothelial,2
2656144900351100151,endothelial,oligodendrocyte_progenitor_2,2
2656144900537100149,oligodendrocyte_1,astrocyte_1,2
2787445900327100116,endothelial,endothelial,1
2795584800449100206,oligodendrocyte_progenitor_2,oligodendrocyte_2,0
2787889600230100269,oligodendrocyte_1,oligodendrocyte_progenitor_2,0
2787445900324100101,endothelial,endothelial,1
2946331700000003291,astrocyte_1,ependymal,0
2795903600463100037,oligodendrocyte_2,oligodendrocyte_2,0
2656143800029200138,endothelial,endothelial,2
2796212800207200125,astrocyte_1,astrocyte_1,2
2795903600193100019,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2787445900537100049,oligodendrocyte_2,oligodendrocyte_2,2
2946331700000018420,endothelial,endothelial,0
2656144900565100164,endothelial,endothelial,0
2946331700000014941,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2795584800222100094,meninges_3,meninges_2,0
2707604700363200032,oligodendrocyte_progenitor_1,oligodendrocyte_precursor_cell,1
2787445900790100045,astrocyte_2,oligodendrocyte_1,1
2787889600549100068,astrocyte_2,astrocyte_2,0
2795103300382100017,astrocyte_2,astrocyte_2,1
2787889600230100144,endothelial,endothelial,1
2946331700000015824,oligodendrocyte_progenitor_2,oligodendrocyte_1,1
2656144900590100237,astrocyte_1,oligodendrocyte_progenitor_2,2
2707604800425200049,astrocyte_1,astrocyte_1,2
2796212800886100219,endothelial,endothelial,1
2707737900021200044,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2795103300452100022,Schwann_cell,Schwann_cell,2
2787445900292100174,Schwann_cell,Schwann_cell,2
2707737900126100032,oligodendrocyte_2,oligodendrocyte_2,1
2707604700295100085,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2656143800031100019,Schwann_cell,Schwann_cell,0
2787445900399200095,endothelial,endothelial,1
2795103300098100192,astrocyte_1,oligodendrocyte_progenitor_2,0
2795103300200100050,endothelial,endothelial,1
2656144300125200083,oligodendrocyte_1,endothelial,0
2656144900504100190,oligodendrocyte_1,oligodendrocyte_progenitor_2,1
2656143800105100194,astrocyte_1,astrocyte_1,0
2795584800747100097,endothelial,oligodendrocyte_progenitor_2,1
2787445900759100119,oligodendrocyte_2,oligodendrocyte_2,2
2795903600268100244,endothelial,astrocyte_1,0
2795903600540100023,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2795584800714100018,astrocyte_2,astrocyte_2,0
2787445900251100108,oligodendrocyte_2,oligodendrocyte_2,1
2656144900192100181,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2796212800142100062,astrocyte_1,astrocyte_1,2
2726544600027100237,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2795903600241100054,oligodendrocyte_2,oligodendrocyte_2,2
2946331700000003802,oligodendrocyte_2,oligodendrocyte_2,0
2787445900264100033,astrocyte_2,astrocyte_2,1
2946331700000003124,oligodendrocyte_1,oligodendrocyte_1,0
2707737900135100028,astrocyte_2,astrocyte_1,0
2707604700200100084,astrocyte_2,astrocyte_1,1
2946331700000018817,ependymal,astrocyte_1,0
2787889600416100065,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,0
2787445900225100207,endothelial,endothelial,1
2707604800121200057,endothelial,endothelial,0
2795584800589100202,pericyte,astrocyte_1,2
2707604700107100066,endothelial,endothelial,2
2796212800553100050,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2656144900532100019,oligodendrocyte_2,microglia,1
2707604000122100133,oligodendrocyte_2,oligodendrocyte_2,2
2796212800657100066,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2787889600353100120,astrocyte_1,astrocyte_1,0
2656144900535100107,astrocyte_1,astrocyte_2,1
2707604800403100158,endothelial,endothelial,2
2656143800394100034,endothelial,endothelial,1
2796212800887100175,astrocyte_1,astrocyte_1,2
2656144900616200135,endothelial,endothelial,1
2707604000010100086,astrocyte_2,oligodendrocyte_2,0
2726562700278100055,astrocyte_2,astrocyte_1,1
2787889600398200058,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,2
2795584800238100291,oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_1,1
2707604000042100205,astrocyte_1,astrocyte_1,2
2795903600354100169,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2787889600266100173,oligodendrocyte_2,oligodendrocyte_2,1
2707737900077100122,oligodendrocyte_2,oligodendrocyte_2,0
2796212800456100030,astrocyte_2,astrocyte_2,2
2946331700000022441,astrocyte_2,astrocyte_2,2
2656144900473100055,endothelial,endothelial,1
2656144900264100096,endothelial,oligodendrocyte_progenitor_2,2
2795903600436100270,endothelial,endothelial,1
2787445900548100175,oligodendrocyte_2,oligodendrocyte_progenitor_2,1
2787889600163100015,endothelial,endothelial,0
2795584800313100072,oligodendrocyte_2,oligodendrocyte_2,1
2796212800886100208,oligodendrocyte_1,oligodendrocyte_progenitor_2,1
2795584800354100043,oligodendrocyte_progenitor_2,oligodendrocyte_1,1
2795584800139100153,endothelial,endothelial,0
2795584800349100201,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,1
2796212800343100093,oligodendrocyte_1,oligodendrocyte_progenitor_2,2
2707604700035100156,endothelial,endothelial,1
