true_label,anchor_pred,error_count,recoverable_count,recoverable_fraction,rescuing_experts,true_family,pred_family
oligodendrocyte_1,oligodendrocyte_progenitor_2,92,8,0.08695652173913043,['wyh_model_v2'],oligodendrocyte_opc,oligodendrocyte_opc
oligodendrocyte_progenitor_2,oligodendrocyte_2,53,14,0.2641509433962264,['wyh_model_v2'],oligodendrocyte_opc,oligodendrocyte_opc
oligodendrocyte_progenitor_2,oligodendrocyte_1,47,6,0.1276595744680851,['wyh_model_v2'],oligodendrocyte_opc,oligodendrocyte_opc
oligodendrocyte_2,oligodendrocyte_progenitor_2,31,2,0.06451612903225806,['wyh_model_v2'],oligodendrocyte_opc,oligodendrocyte_opc
endothelial,astrocyte_1,30,2,0.06666666666666667,['wyh_model_v2'],vascular,astrocyte
oligodendrocyte_1,astrocyte_1,30,6,0.2,['wyh_model_v2'],oligodendrocyte_opc,astrocyte
oligodendrocyte_progenitor_2,astrocyte_1,27,0,0.0,[],oligodendrocyte_opc,astrocyte
astrocyte_1,oligodendrocyte_progenitor_2,24,2,0.08333333333333333,['wyh_model_v2'],astrocyte,oligodendrocyte_opc
oligodendrocyte_progenitor_1,oligodendrocyte_precursor_cell,23,0,0.0,[],oligodendrocyte_opc,oligodendrocyte_opc
DH_in_Klhl14,DH_in_Cdh3,21,0,0.0,[],neuronal_or_other,neuronal_or_other
meninges_2,meninges_1,18,1,0.05555555555555555,['wyh_model_v2'],meningeal,meningeal
astrocyte_1,endothelial,18,0,0.0,[],astrocyte,vascular
endothelial,oligodendrocyte_1,18,0,0.0,[],vascular,oligodendrocyte_opc
astrocyte_1,oligodendrocyte_1,17,2,0.11764705882352941,['wyh_model_v2'],astrocyte,oligodendrocyte_opc
oligodendrocyte_1,oligodendrocyte_2,17,1,0.058823529411764705,['wyh_model_v2'],oligodendrocyte_opc,oligodendrocyte_opc
endothelial,oligodendrocyte_progenitor_2,15,0,0.0,[],vascular,oligodendrocyte_opc
astrocyte_2,astrocyte_1,15,2,0.13333333333333333,['wyh_model_v2'],astrocyte,astrocyte
astrocyte_2,oligodendrocyte_progenitor_2,15,1,0.06666666666666667,['wyh_model_v2'],astrocyte,oligodendrocyte_opc
oligodendrocyte_precursor_cell,astrocyte_1,14,0,0.0,[],oligodendrocyte_opc,astrocyte
DH_ex_Grp,DH_ex_Prkcg/Rxfp1,13,3,0.23076923076923078,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
peripheral_glia,Schwann_cell,12,0,0.0,[],other_glial_non_neuronal,other_glial_non_neuronal
DH_ex_Maf/Slc17a8,DH_ex_Maf/Cck,12,1,0.08333333333333333,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
gamma_motoneuron,alpha_motoneuron,12,0,0.0,[],neuronal_or_other,neuronal_or_other
pericyte,endothelial,11,0,0.0,[],vascular,vascular
oligodendrocyte_progenitor_2,endothelial,11,0,0.0,[],oligodendrocyte_opc,vascular
DH_ex_Prkcg/Cck,DH_ex_Prkcg/Nts,11,2,0.18181818181818182,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
oligodendrocyte_1,endothelial,9,0,0.0,[],oligodendrocyte_opc,vascular
astrocyte_2,oligodendrocyte_2,9,0,0.0,[],astrocyte,oligodendrocyte_opc
DH_ex_Prkcg/Nts,DH_ex_Tac2,8,0,0.0,[],neuronal_or_other,neuronal_or_other
DH_ex_Rreb1,DH_ex_Maf/Cck,8,1,0.125,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
microglia,oligodendrocyte_progenitor_2,7,0,0.0,[],other_glial_non_neuronal,oligodendrocyte_opc
oligodendrocyte_progenitor_2,astrocyte_2,7,0,0.0,[],oligodendrocyte_opc,astrocyte
pericyte,astrocyte_1,6,1,0.16666666666666666,['wyh_model_v2'],vascular,astrocyte
DH_ex_Prkcg/Nts,DH_ex_Prkcg/Cck,6,0,0.0,[],neuronal_or_other,neuronal_or_other
oligodendrocyte_precursor_cell,oligodendrocyte_2,6,0,0.0,[],oligodendrocyte_opc,oligodendrocyte_opc
astrocyte_1,astrocyte_2,5,1,0.2,['wyh_model_v2'],astrocyte,astrocyte
meninges_3,meninges_1,5,0,0.0,[],meningeal,meningeal
DH_ex_Maf/Cpne4,DH_ex_Maf/Cck,5,0,0.0,[],neuronal_or_other,neuronal_or_other
beta_motoneuron,alpha_motoneuron,5,1,0.2,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
meninges_2,meninges_3,5,1,0.2,['wyh_model_v2'],meningeal,meningeal
DH_ex_Grpr,DH_ex_Gpr83,5,1,0.2,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_2,5,0,0.0,[],oligodendrocyte_opc,oligodendrocyte_opc
oligodendrocyte_progenitor_2,oligodendrocyte_precursor_cell,5,1,0.2,['wyh_model_v2'],oligodendrocyte_opc,oligodendrocyte_opc
DH_in_Kcnip2,DH_in_Npy2r,5,0,0.0,[],neuronal_or_other,neuronal_or_other
DH_ex_Gpr83,DH_ex_Grpr,4,0,0.0,[],neuronal_or_other,neuronal_or_other
alpha_motoneuron,beta_motoneuron,4,0,0.0,[],neuronal_or_other,neuronal_or_other
meninges_3,meninges_2,4,1,0.25,['wyh_model_v2'],meningeal,meningeal
microglia,oligodendrocyte_2,4,0,0.0,[],other_glial_non_neuronal,oligodendrocyte_opc
DH_ex_Prkcg/Rxfp1,DH_ex_Grp,4,1,0.25,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
meninges_1,meninges_3,4,1,0.25,['wyh_model_v2'],meningeal,meningeal
meninges_1,meninges_2,4,3,0.75,['wyh_model_v2'],meningeal,meningeal
DH_ex_Maf/Cck,DH_ex_Rreb1,4,1,0.25,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
astrocyte_2,meninges_1,4,1,0.25,['wyh_model_v2'],astrocyte,meningeal
DH_ex_Prkcg/Cck,DH_ex_Tac2,4,1,0.25,['wyh_model_v2'],neuronal_or_other,neuronal_or_other
oligodendrocyte_progenitor_1,astrocyte_1,4,2,0.5,['wyh_model_v2'],oligodendrocyte_opc,astrocyte
astrocyte_2,oligodendrocyte_1,3,0,0.0,[],astrocyte,oligodendrocyte_opc
DH_ex_Tac2,DH_ex_Prkcg/Cck,3,0,0.0,[],neuronal_or_other,neuronal_or_other
microglia,oligodendrocyte_1,3,0,0.0,[],other_glial_non_neuronal,oligodendrocyte_opc
oligodendrocyte_precursor_cell,oligodendrocyte_1,3,0,0.0,[],oligodendrocyte_opc,oligodendrocyte_opc
