Cell_ID,true_label,LZH_pred,WYH_pred,S2_pred,S2_top1,S2_margin,S2_entropy,Region,E/I,Segment,Section_ID,hard_bucket,n_detected,library_size,canonical_fold,true_family,s2_family,s2_recovered
2946331700000003596,microglia,oligodendrocyte_progenitor_2,oligodendrocyte_2,microglia,0.6949121114692833,0.4906992981136141,0.9461103682109941,__MISSING__,__MISSING__,__MISSING__,0415_F2_C,True,10,14.0,0,other_glial_non_neuronal,other_glial_non_neuronal,True
2795903600516100151,endothelial,astrocyte_1,astrocyte_1,endothelial,0.4003728454962225,0.010958076671909622,1.609996263347711,__MISSING__,__MISSING__,__MISSING__,0613_M5_C,True,13,17.0,0,vascular,vascular,True
2795584800222100094,meninges_3,meninges_1,meninges_1,meninges_3,0.507393525498165,0.1944636740978095,1.0799965343172009,__MISSING__,__MISSING__,__MISSING__,0610_F3_C,True,3,23.0,2,meningeal,meningeal,True
2795584800747100097,endothelial,oligodendrocyte_1,oligodendrocyte_1,endothelial,0.2824876019431954,0.1512680447678935,2.568506241966021,__MISSING__,__MISSING__,__MISSING__,0610_F5_L,True,7,11.0,1,vascular,vascular,True
2656144900166100222,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,0.7995559446069136,0.6017614063085166,0.5186524161048672,__MISSING__,__MISSING__,__MISSING__,0328_M1_C,True,6,19.0,1,oligodendrocyte_opc,oligodendrocyte_opc,True
2795903600302100045,meninges_3,meninges_2,meninges_1,meninges_3,0.3654425852141005,0.024994832846488346,1.1075319972455198,__MISSING__,__MISSING__,__MISSING__,0613_M5_T,True,3,39.0,2,meningeal,meningeal,True
2787445900597100130,oligodendrocyte_1,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,oligodendrocyte_1,0.41311546503944685,0.027535967858806187,1.1932192121850047,__MISSING__,__MISSING__,__MISSING__,0503_F4_S,True,7,15.0,1,oligodendrocyte_opc,oligodendrocyte_opc,True
2656143800164100063,microglia,oligodendrocyte_2,oligodendrocyte_2,microglia,0.9421664589945309,0.9122255150018543,0.3105045857439195,__MISSING__,__MISSING__,__MISSING__,0328_M3_T,True,7,9.0,0,other_glial_non_neuronal,other_glial_non_neuronal,True
2787445900617100074,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_progenitor_2,0.5188954444785672,0.038426389647015446,0.6979984196366724,__MISSING__,__MISSING__,__MISSING__,0503_F3_C,True,13,29.0,4,oligodendrocyte_opc,oligodendrocyte_opc,True
2796212801016100049,meninges_1,meninges_3,meninges_3,meninges_1,0.3983425974913598,0.043566873658639316,1.0824922586657197,__MISSING__,__MISSING__,__MISSING__,0613_F4_C,True,2,151.0,2,meningeal,meningeal,True
2787445900205100076,microglia,oligodendrocyte_progenitor_2,oligodendrocyte_1,microglia,0.3718856328824723,0.0562032666580119,1.3876865829636011,__MISSING__,__MISSING__,__MISSING__,0503_F5_C,True,14,19.0,4,other_glial_non_neuronal,other_glial_non_neuronal,True
2656144900503100067,DH_ex_Grpr,DH_ex_Gpr83,DH_ex_Gpr83,DH_ex_Grpr,0.464313350189609,0.19000050350876818,1.2653239664318106,1,excitatory,2,0328_M2_L,False,20,41.0,2,neuronal_or_other,neuronal_or_other,True
2707604700365100101,oligodendrocyte_1,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,oligodendrocyte_1,0.3618990544795571,0.04467682269006373,1.4416360342496215,__MISSING__,__MISSING__,__MISSING__,0415_M2_C,True,7,9.0,2,oligodendrocyte_opc,oligodendrocyte_opc,True
2707604800406100019,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_progenitor_2,0.47991549541459205,0.18486599137337223,1.2035402819804817,__MISSING__,__MISSING__,__MISSING__,0415_M1_C,True,19,26.0,4,oligodendrocyte_opc,oligodendrocyte_opc,True
2707604700082100067,astrocyte_1,pericyte,pericyte,astrocyte_1,0.6621025012768273,0.3302406090714307,0.6768572774512661,__MISSING__,__MISSING__,__MISSING__,0415_M2_L,True,18,22.0,1,astrocyte,astrocyte,True
2707604800240100095,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,0.5544270413473554,0.11522009460484905,0.7320838102924451,__MISSING__,__MISSING__,__MISSING__,0415_M1_T,True,6,14.0,3,oligodendrocyte_opc,oligodendrocyte_opc,True
2787445900161200017,pericyte,endothelial,endothelial,pericyte,0.7116413493856564,0.4351871736116138,0.6529397345637826,__MISSING__,__MISSING__,__MISSING__,0503_F5_T,True,32,50.0,2,vascular,vascular,True
2656143800189100068,oligodendrocyte_2,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,oligodendrocyte_2,0.4018093157092958,0.10829175984454781,1.379199499624993,__MISSING__,__MISSING__,__MISSING__,0328_M3_T,True,8,9.0,0,oligodendrocyte_opc,oligodendrocyte_opc,True
2796212800913100278,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,0.4711473827004095,0.05416860807833618,1.1398104297589209,__MISSING__,__MISSING__,__MISSING__,0613_F3_C,True,6,9.0,1,oligodendrocyte_opc,oligodendrocyte_opc,True
2787889600057100207,microglia,astrocyte_1,astrocyte_1,microglia,0.5371364602271349,0.24984907995162703,1.3227071909446397,__MISSING__,__MISSING__,__MISSING__,0503_M5_C,True,5,6.0,0,other_glial_non_neuronal,other_glial_non_neuronal,True
2787445900130100046,oligodendrocyte_progenitor_2,meninges_1,meninges_1,oligodendrocyte_progenitor_2,0.6332464188008012,0.368828355249429,1.075414175739926,__MISSING__,__MISSING__,__MISSING__,0503_F5_C,True,13,65.0,2,oligodendrocyte_opc,oligodendrocyte_opc,True
2787889600277100011,oligodendrocyte_progenitor_2,astrocyte_2,astrocyte_2,oligodendrocyte_progenitor_2,0.9747854288221061,0.9635951150112987,0.1491629301183922,__MISSING__,__MISSING__,__MISSING__,0503_M4_C,True,9,21.0,3,oligodendrocyte_opc,oligodendrocyte_opc,True
2795903600427100241,oligodendrocyte_progenitor_2,astrocyte_1,astrocyte_1,oligodendrocyte_progenitor_2,0.5413540234174721,0.11436073821461107,0.8365261090607036,__MISSING__,__MISSING__,__MISSING__,0613_M4_T,True,21,40.0,0,oligodendrocyte_opc,oligodendrocyte_opc,True
2787889600353100068,astrocyte_1,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,astrocyte_1,0.6557225045782367,0.32966104252012673,0.7362481960770837,__MISSING__,__MISSING__,__MISSING__,0503_M4_C,True,20,29.0,0,astrocyte,astrocyte,True
2707604000155100192,astrocyte_1,oligodendrocyte_2,oligodendrocyte_progenitor_2,astrocyte_1,0.6526271008533293,0.4273882879472382,1.0575560149429983,__MISSING__,__MISSING__,__MISSING__,0415_M3_T,True,14,18.0,2,astrocyte,astrocyte,True
2795103300377100032,astrocyte_1,endothelial,endothelial,astrocyte_1,0.5792293487101392,0.3003645213865552,1.2835446302322242,__MISSING__,__MISSING__,__MISSING__,0610_M5_L,True,8,10.0,2,astrocyte,astrocyte,True
