feature,p_count,p_mean,p_median,p_p25,p_p75,n1_count,n1_mean,n1_median,n1_p25,n1_p75,n3_count,n3_mean,n3_median,n3_p25,n3_p75,auc_p_vs_n1,auc_p_vs_n3,auc_p_vs_n1_folds_0_2,auc_p_vs_n3_folds_0_2,auc_p_vs_n1_folds_3_4,auc_p_vs_n3_folds_3_4,direction_overall,direction_folds_0_2,direction_folds_3_4
s0_top1,96,0.47858831645978667,0.4712406542542616,0.3923881619439098,0.5495640010224105,689,0.5440996535276172,0.5239900323875554,0.37205264856891374,0.7050094823346321,1160,0.4740060119592678,0.45213256788760603,0.3224583887235529,0.6077023657216698,0.41415699080793417,0.5263290229885058,0.4140423522574552,0.523141654978962,0.43218390804597695,0.5449403378273671,higher_in_P,higher_in_P,higher_in_P
s0_margin,96,0.19556308626489158,0.14604004558270614,0.06768066492820343,0.2606165348922917,689,0.3411729056507968,0.27154598783116424,0.13127178644859366,0.523605762503887,1160,0.271105169146337,0.2010640489023411,0.07484841741959572,0.4149542357264646,0.33549528301886794,0.4249910201149426,0.317206058624823,0.4131497301202771,0.38033205619412513,0.45932124593212453,lower_in_P,lower_in_P,lower_in_P
s0_entropy,96,1.3932606368612916,1.3379276982886967,1.0915782709048598,1.6550442203290663,689,1.4080498308328788,1.3565475504950397,0.8614708470174246,1.9097327267338868,1160,1.6551372605997123,1.6557434573624672,1.1613409595675588,2.1683323779688206,0.5001814223512336,0.37657147988505746,0.49042897097817006,0.3702877300352756,0.5085568326947637,0.37897102123043547,lower_in_P,lower_in_P,lower_in_P
lzh_top1,96,0.6074735712014876,0.6113584949518116,0.5157195506701373,0.6881842304644905,689,0.7047866184764242,0.7154482887704512,0.5887736825414842,0.8368169064549785,1160,0.8382742946599323,0.9394515608209413,0.6906487880878069,0.9999999940999997,0.3213745766811804,0.18160919540229883,0.31884057971014496,0.1785243741765481,0.3237547892720306,0.1868123353479002,lower_in_P,lower_in_P,lower_in_P
lzh_margin,96,0.3509473417348404,0.3420485092591055,0.1952804465308993,0.49628116458055316,689,0.5285594928416315,0.5408440158479892,0.3356952706144802,0.7430545824605073,1160,0.7243442904813149,0.8857652962430045,0.4767935090372526,0.9999999939999997,0.30220428156748913,0.1909662356321839,0.2981366459627329,0.18226443962769348,0.3162196679438059,0.20478847047884705,lower_in_P,lower_in_P,lower_in_P
lzh_entropy,96,1.0318813348817777,1.010908121769606,0.8489952550253708,1.2286476423950106,689,0.8635526934921564,0.8638846527443952,0.5905748499940898,1.1364459537522555,1160,0.4314051609769682,0.2418702107924838,1.4175252073536737e-07,0.7782181674828387,0.6365354378326076,0.839385775862069,0.6352838618284844,0.8343533511836457,0.6399744572158365,0.8476677514334418,higher_in_P,higher_in_P,higher_in_P
wyh_top1,96,0.7283177164120965,0.7256143951867531,0.6064026572526091,0.8540825550032416,689,0.8235221076946322,0.8825543123703554,0.7082311650943081,0.97167295425444,1160,0.9021936823308544,0.9992559216015695,0.8609852689921428,1.0,0.3243226898887276,0.1798132183908046,0.3209109730848862,0.17612308215393768,0.33065134099616855,0.1834805516813885,lower_in_P,lower_in_P,lower_in_P
wyh_margin,96,0.5119290352493701,0.5150924118353531,0.2794730287420497,0.7184944397707707,689,0.6902113546424214,0.7886366634548936,0.47107041075317047,0.9503679532281194,1160,0.8238025766526721,0.9986274130718815,0.7508613874762011,1.0,0.31771589259796806,0.18104346264367818,0.313900693763394,0.17771686004505077,0.3266922094508301,0.18565008523167517,lower_in_P,lower_in_P,lower_in_P
wyh_entropy,96,0.6479211484629007,0.6710062868097473,0.46935070916920024,0.8489021693319478,689,0.46879498990015944,0.41999559983010637,0.1362744408882398,0.7104639213646633,1160,0.2348480133128829,0.006352340444176705,-0.0,0.4382718115873236,0.657338534107402,0.8256196120689655,0.6611456176673568,0.8313782991202346,0.6466155810983397,0.8158995815899581,higher_in_P,higher_in_P,higher_in_P
lzh_wyh_agree,96,0.9270833333333334,1.0,1.0,1.0,689,0.9448476052249637,1.0,1.0,1.0,1160,0.8991379310344828,1.0,1.0,1.0,0.49111786405418484,0.5139727011494253,0.4960771493952272,0.5164690382081687,0.4754789272030651,0.5019758251975824,higher_in_P,higher_in_P,higher_in_P
lzh_s0_agree,96,0.0,0.0,0.0,0.0,689,0.6879535558780842,1.0,0.0,1.0,1160,0.03362068965517241,0.0,0.0,0.0,0.15602322206095792,0.4831896551724138,0.15538847117794485,0.4831378299120235,0.1568965517241379,0.48326359832635984,lower_in_P,lower_in_P,lower_in_P
wyh_s0_agree,96,0.0,0.0,0.0,0.0,689,0.6748911465892597,1.0,0.0,1.0,1160,0.016379310344827588,0.0,0.0,0.0,0.16255442670537013,0.49181034482758623,0.16290726817042606,0.49193548387096775,0.16206896551724137,0.4916317991631799,lower_in_P,lower_in_P,lower_in_P
all_three_agree,96,0.0,0.0,0.0,0.0,689,0.660377358490566,1.0,0.0,1.0,1160,0.0,0.0,0.0,0.0,0.169811320754717,0.5,0.16917293233082709,0.5,0.1706896551724138,0.5,tied,tied,tied
all_three_different,96,0.07291666666666667,0.0,0.0,0.0,689,0.013062409288824383,0.0,0.0,0.0,1160,0.05086206896551724,0.0,0.0,0.0,0.5299271286889211,0.5110272988505747,0.523972975918056,0.5084576480088402,0.5469348659003832,0.5231287773128778,higher_in_P,higher_in_P,higher_in_P
n_experts_supporting_s0,96,1.0,1.0,1.0,1.0,689,2.362844702467344,3.0,1.0,3.0,1160,1.05,1.0,1.0,1.0,0.14876632801161105,0.475,0.14912280701754388,0.4750733137829912,0.14827586206896554,0.47489539748953974,lower_in_P,lower_in_P,lower_in_P
n_strong_supporting_s0,96,0.0,0.0,0.0,0.0,689,1.362844702467344,2.0,0.0,2.0,1160,0.05,0.0,0.0,0.0,0.14876632801161105,0.475,0.14912280701754388,0.4750733137829912,0.14827586206896554,0.47489539748953974,lower_in_P,lower_in_P,lower_in_P
s0_prob_advantage_lzh,96,-0.12888525474170087,-0.14879078305345836,-0.2447766715493373,-0.042971147726062045,689,-0.16068696494880702,-0.138610802145002,-0.2886528714130668,-0.015982930952010532,1160,-0.3642682827006645,-0.3925718795830778,-0.5869206241069029,-0.17178685113869588,0.526321359458152,0.7626616379310345,0.5154916276197741,0.770517234051596,0.562962962962963,0.7649930264993026,higher_in_P,higher_in_P,higher_in_P
