true_label,pred,n
oligodendrocyte_1,oligodendrocyte_progenitor_2,26
oligodendrocyte_progenitor_2,oligodendrocyte_1,5
microglia,oligodendrocyte_progenitor_2,4
astrocyte_2,astrocyte_1,4
oligodendrocyte_progenitor_2,oligodendrocyte_2,4
oligodendrocyte_1,oligodendrocyte_2,4
meninges_3,meninges_1,3
astrocyte_1,endothelial,3
endothelial,oligodendrocyte_1,2
endothelial,astrocyte_1,2
microglia,oligodendrocyte_2,2
astrocyte_1,oligodendrocyte_precursor_cell,2
DH_ex_Prkcg/Nts,DH_ex_Tac2,2
oligodendrocyte_2,oligodendrocyte_progenitor_2,2
DH_ex_Maf/Cpne4,DH_ex_Maf/Cck,1
DH_ex_Grpr,DH_ex_Gpr83,1
astrocyte_1,pericyte,1
DH_ex_Cpne4,DH_ex_Reln/Nmur2,1
pericyte,endothelial,1
meninges_2,meninges_1,1
microglia,astrocyte_1,1
oligodendrocyte_progenitor_2,astrocyte_2,1
oligodendrocyte_progenitor_2,astrocyte_1,1
astrocyte_1,oligodendrocyte_progenitor_2,1
astrocyte_1,oligodendrocyte_2,1
alpha_motoneuron,gamma_motoneuron,1
DH_ex_Prkcg/Nts,DH_ex_Prkcg/Cck,1
pericyte,oligodendrocyte_progenitor_2,1
pericyte,meninges_1,1
endothelial,peripheral_glia,1
DH_ex_Tac2,DH_ex_Nmu/Tac2,1
alpha_motoneuron,beta_motoneuron,1
astrocyte_2,oligodendrocyte_progenitor_2,1
astrocyte_1,oligodendrocyte_1,1
oligodendrocyte_1,astrocyte_1,1
oligodendrocyte_progenitor_1,astrocyte_1,1
oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_1,1
oligodendrocyte_precursor_cell,oligodendrocyte_2,1
meninges_3,meninges_2,1
endothelial,oligodendrocyte_progenitor_2,1
oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_2,1
peripheral_glia,Schwann_cell,1
meninges_1,meninges_2,1
endothelial,meninges_1,1
oligodendrocyte_progenitor_1,oligodendrocyte_precursor_cell,1
