feature,decile,n,positive_rescue_count,rescue_rate,n3,danger_rate_n3
s0_top1,1,500,10,0.02,275,0.55
s0_top1,2,500,20,0.04,227,0.454
s0_top1,3,500,30,0.06,163,0.326
s0_top1,4,500,15,0.03,151,0.302
s0_top1,5,500,11,0.022,114,0.228
s0_top1,6,500,6,0.012,111,0.222
s0_top1,7,500,3,0.006,65,0.13
s0_top1,8,500,1,0.002,32,0.064
s0_top1,9,500,0,0.0,15,0.03
s0_top1,10,500,0,0.0,7,0.014
s0_margin,1,500,23,0.046,254,0.508
s0_margin,2,500,25,0.05,224,0.448
s0_margin,3,500,16,0.032,157,0.314
s0_margin,4,500,15,0.03,140,0.28
s0_margin,5,500,8,0.016,149,0.298
s0_margin,6,500,5,0.01,97,0.194
s0_margin,7,500,3,0.006,83,0.166
s0_margin,8,500,1,0.002,33,0.066
s0_margin,9,500,0,0.0,15,0.03
s0_margin,10,500,0,0.0,8,0.016
s0_entropy,1,500,0,0.0,5,0.01
s0_entropy,2,500,0,0.0,16,0.032
s0_entropy,3,500,1,0.002,24,0.048
s0_entropy,4,500,11,0.022,73,0.146
s0_entropy,5,500,9,0.018,106,0.212
s0_entropy,6,500,21,0.042,126,0.252
s0_entropy,7,500,16,0.032,153,0.306
s0_entropy,8,500,19,0.038,162,0.324
s0_entropy,9,500,12,0.024,228,0.456
s0_entropy,10,500,7,0.014,267,0.534
lzh_margin,1,500,40,0.08,186,0.372
lzh_margin,2,500,30,0.06,112,0.224
lzh_margin,3,500,17,0.034,82,0.164
lzh_margin,4,500,7,0.014,79,0.158
lzh_margin,5,500,2,0.004,66,0.132
lzh_margin,6,500,0,0.0,80,0.16
lzh_margin,7,500,0,0.0,70,0.14
lzh_margin,8,500,0,0.0,84,0.168
lzh_margin,9,946,0,0.0,400,0.42283298097251587
lzh_margin,10,54,0,0.0,1,0.018518518518518517
wyh_margin,1,500,41,0.082,168,0.336
wyh_margin,2,500,33,0.066,121,0.242
wyh_margin,3,500,12,0.024,97,0.194
wyh_margin,4,500,8,0.016,71,0.142
wyh_margin,5,500,2,0.004,77,0.154
wyh_margin,6,500,0,0.0,74,0.148
wyh_margin,7,500,0,0.0,66,0.132
wyh_margin,8,500,0,0.0,91,0.182
wyh_margin,9,1000,0,0.0,395,0.395
rescue_evidence_score,1,500,0,0.0,310,0.62
rescue_evidence_score,2,500,4,0.008,220,0.44
rescue_evidence_score,3,500,10,0.02,145,0.29
rescue_evidence_score,4,500,14,0.028,98,0.196
rescue_evidence_score,5,500,13,0.026,77,0.154
rescue_evidence_score,6,500,9,0.018,61,0.122
rescue_evidence_score,7,500,7,0.014,27,0.054
rescue_evidence_score,8,500,1,0.002,33,0.066
rescue_evidence_score,9,500,13,0.026,42,0.084
rescue_evidence_score,10,500,25,0.05,147,0.294
