true_label,pred,error_count,sni_rescue_count,sni_rescue_fraction,family
oligodendrocyte_1,oligodendrocyte_progenitor_2,58,0,0.0,oligodendrocyte_opc
oligodendrocyte_progenitor_2,oligodendrocyte_1,36,20,0.5555555555555556,oligodendrocyte_opc
oligodendrocyte_progenitor_2,oligodendrocyte_2,35,8,0.22857142857142856,oligodendrocyte_opc
oligodendrocyte_2,oligodendrocyte_progenitor_2,27,0,0.0,oligodendrocyte_opc
endothelial,astrocyte_1,26,0,0.0,vascular
oligodendrocyte_progenitor_2,astrocyte_1,26,2,0.07692307692307693,oligodendrocyte_opc
oligodendrocyte_1,astrocyte_1,23,1,0.043478260869565216,oligodendrocyte_opc
oligodendrocyte_progenitor_1,oligodendrocyte_precursor_cell,22,0,0.0,oligodendrocyte_opc
astrocyte_1,oligodendrocyte_progenitor_2,21,1,0.047619047619047616,astrocyte
DH_in_Klhl14,DH_in_Cdh3,21,0,0.0,neuronal_or_other
meninges_2,meninges_1,16,1,0.0625,meningeal
endothelial,oligodendrocyte_1,16,0,0.0,vascular
astrocyte_1,endothelial,15,2,0.13333333333333333,astrocyte
astrocyte_1,oligodendrocyte_1,14,0,0.0,astrocyte
endothelial,oligodendrocyte_progenitor_2,14,0,0.0,vascular
oligodendrocyte_precursor_cell,astrocyte_1,14,0,0.0,oligodendrocyte_opc
astrocyte_2,oligodendrocyte_progenitor_2,13,0,0.0,astrocyte
gamma_motoneuron,alpha_motoneuron,12,0,0.0,neuronal_or_other
oligodendrocyte_1,oligodendrocyte_2,12,0,0.0,oligodendrocyte_opc
peripheral_glia,Schwann_cell,11,0,0.0,remaining_glial_non_neuronal
