expert,strong_consensus_class,proposed_class,support,wrong_to_correct,correct_to_wrong,both_correct,both_wrong,net,patch_precision,strong_conditional_accuracy,candidate_conditional_accuracy,oracle_conditional_accuracy,is_h1,is_h2,is_h3,predeclared
s0,oligodendrocyte_1,oligodendrocyte_1,130,0,0,84,46,0,,0.6461538461538462,0.6461538461538462,0.6461538461538462,False,False,False,False
s0,oligodendrocyte_1,oligodendrocyte_2,2,0,1,0,1,-1,0.0,0.5,0.0,0.5,False,False,False,False
s0,oligodendrocyte_1,oligodendrocyte_precursor_cell,0,0,0,0,0,0,,,,,False,False,False,False
s0,oligodendrocyte_1,oligodendrocyte_progenitor_1,0,0,0,0,0,0,,,,,False,False,False,False
s0,oligodendrocyte_1,oligodendrocyte_progenitor_2,14,5,8,0,1,-3,0.38461538461538464,0.5714285714285714,0.35714285714285715,0.9285714285714286,False,False,False,False
s0,oligodendrocyte_2,oligodendrocyte_1,5,1,3,0,1,-2,0.25,0.6,0.2,0.8,False,False,False,False
s0,oligodendrocyte_2,oligodendrocyte_2,410,0,0,352,58,0,,0.8585365853658536,0.8585365853658536,0.8585365853658536,False,False,False,False
s0,oligodendrocyte_2,oligodendrocyte_precursor_cell,1,1,0,0,0,1,1.0,0.0,1.0,1.0,False,False,False,False
s0,oligodendrocyte_2,oligodendrocyte_progenitor_1,0,0,0,0,0,0,,,,,False,False,False,False
s0,oligodendrocyte_2,oligodendrocyte_progenitor_2,16,4,10,0,2,-6,0.2857142857142857,0.625,0.25,0.875,False,False,False,False
s0,oligodendrocyte_precursor_cell,oligodendrocyte_1,1,0,0,0,1,0,,0.0,0.0,0.0,False,False,False,False
s0,oligodendrocyte_precursor_cell,oligodendrocyte_2,0,0,0,0,0,0,,,,,False,False,False,False
s0,oligodendrocyte_precursor_cell,oligodendrocyte_precursor_cell,92,0,0,64,28,0,,0.6956521739130435,0.6956521739130435,0.6956521739130435,False,False,False,False
s0,oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_1,2,1,1,0,0,0,0.5,0.5,0.5,1.0,False,False,False,False
s0,oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_2,1,0,1,0,0,-1,0.0,1.0,0.0,1.0,False,False,False,False
s0,oligodendrocyte_progenitor_1,oligodendrocyte_1,0,0,0,0,0,0,,,,,False,False,False,False
s0,oligodendrocyte_progenitor_1,oligodendrocyte_2,0,0,0,0,0,0,,,,,False,False,False,False
s0,oligodendrocyte_progenitor_1,oligodendrocyte_precursor_cell,2,1,1,0,0,0,0.5,0.5,0.5,1.0,False,False,False,False
