strong_consensus_class,n,errors,accuracy,s0_rescues,sni_rescues,either_rescues,both_rescues,family
oligodendrocyte_progenitor_2,707,173,0.7553041018387553,35,5,36,4,oligodendrocyte_opc
astrocyte_1,597,112,0.8123953098827471,9,4,12,1,astrocyte
oligodendrocyte_1,183,76,0.5846994535519126,8,28,29,7,oligodendrocyte_opc
oligodendrocyte_2,438,71,0.8378995433789954,8,12,18,2,oligodendrocyte_opc
endothelial,298,50,0.8322147651006712,4,5,7,2,vascular
oligodendrocyte_precursor_cell,103,34,0.6699029126213593,3,2,3,2,oligodendrocyte_opc
meninges_1,84,29,0.6547619047619048,6,6,9,3,meningeal
DH_in_Cdh3,141,21,0.851063829787234,0,0,0,0,neuronal_or_other
DH_ex_Maf/Cck,76,21,0.7236842105263158,1,0,1,0,neuronal_or_other
astrocyte_2,164,19,0.8841463414634146,1,4,4,1,astrocyte
alpha_motoneuron,116,16,0.8620689655172413,0,0,0,0,neuronal_or_other
Schwann_cell,59,12,0.7966101694915254,1,1,1,1,remaining_glial_non_neuronal
DH_ex_Tac2,36,12,0.6666666666666666,2,1,3,0,neuronal_or_other
DH_ex_Prkcg/Rxfp1,35,11,0.6857142857142857,0,0,0,0,neuronal_or_other
DH_ex_Prkcg/Nts,46,10,0.782608695652174,0,0,0,0,neuronal_or_other
DH_ex_Prkcg/Cck,24,8,0.6666666666666666,1,3,3,1,neuronal_or_other
microglia,51,7,0.8627450980392157,0,0,0,0,microglia
DH_in_Npy2r,39,5,0.8717948717948718,0,0,0,0,neuronal_or_other
meninges_3,13,5,0.6153846153846154,0,0,0,0,meningeal
beta_motoneuron,12,5,0.5833333333333334,1,3,3,1,neuronal_or_other
DH_ex_Rreb1,5,5,0.0,0,0,0,0,neuronal_or_other
DH_ex_Nmu/Tac2,66,4,0.9393939393939394,1,0,1,0,neuronal_or_other
DH_ex_Gpr83,31,4,0.8709677419354839,1,0,1,0,neuronal_or_other
DH_ex_Grpr,29,4,0.8620689655172413,0,0,0,0,neuronal_or_other
M_ex_Vsx2/Shox2,25,3,0.88,0,0,0,0,neuronal_or_other
oligodendrocyte_progenitor_1,21,3,0.8571428571428571,1,2,2,1,oligodendrocyte_opc
meninges_2,17,3,0.8235294117647058,2,2,2,2,meningeal
DH_ex_Grp,16,3,0.8125,0,0,0,0,neuronal_or_other
DH_ex_Reln/Nmur2,66,2,0.9696969696969697,1,0,1,0,neuronal_or_other
DH_ex_Cpne4,24,2,0.9166666666666666,0,0,0,0,neuronal_or_other
pericyte,17,2,0.8823529411764706,1,1,1,1,vascular
DH_in_Kcnip2,5,2,0.6,0,0,0,0,neuronal_or_other
MV_in_Gm26673,108,1,0.9907407407407407,0,0,0,0,neuronal_or_other
gamma_motoneuron,35,1,0.9714285714285714,1,1,1,1,neuronal_or_other
M_ex_Vsx2,24,1,0.9583333333333334,0,0,0,0,neuronal_or_other
MV_in_Chrna2,22,1,0.9545454545454546,0,1,1,0,neuronal_or_other
peripheral_glia,11,1,0.9090909090909091,1,0,1,0,remaining_glial_non_neuronal
DH_ex_Maf/Cpne4,2,1,0.5,0,0,0,0,neuronal_or_other
MV_in_Gabra1,145,0,1.0,0,0,0,0,neuronal_or_other
DM_ex_Zfhx3,133,0,1.0,0,0,0,0,neuronal_or_other
MV_ex_Syt2,113,0,1.0,0,0,0,0,neuronal_or_other
MV_in_Sema5b,94,0,1.0,0,0,0,0,neuronal_or_other
M_in_Tfap2b,73,0,1.0,0,0,0,0,neuronal_or_other
MV_in_Esrrb,63,0,1.0,0,0,0,0,neuronal_or_other
DH_in_Pdyn,59,0,1.0,0,0,0,0,neuronal_or_other
DH_in_Npy,54,0,1.0,0,0,0,0,neuronal_or_other
DH_ex_Sox5,48,0,1.0,0,0,0,0,neuronal_or_other
MV_ex_Shox2,42,0,1.0,0,0,0,0,neuronal_or_other
DH_ex_Reln/Npff,36,0,1.0,0,0,0,0,neuronal_or_other
DH_ex_Sox5/Tac1,34,0,1.0,0,0,0,0,neuronal_or_other
DH_ex_Reln,31,0,1.0,0,0,0,0,neuronal_or_other
DH_in_Rorb,29,0,1.0,0,0,0,0,neuronal_or_other
DH_in_Pdyn/Gal,26,0,1.0,0,0,0,0,neuronal_or_other
M_ex_Neurod2,11,0,1.0,0,0,0,0,neuronal_or_other
visceral_motoneuron,8,0,1.0,0,0,0,0,neuronal_or_other
cholinergic_interneuron,7,0,1.0,0,0,0,0,neuronal_or_other
ependymal,7,0,1.0,0,0,0,0,remaining_glial_non_neuronal
VH_in_Chat,3,0,1.0,0,0,0,0,neuronal_or_other
DH_ex_Maf/Slc17a8,2,0,1.0,0,0,0,0,neuronal_or_other
