Cell_ID,true_label,canonical_fold,m2_pred,true_family,hard_bucket
2795903600516100151,endothelial,0,endothelial,vascular,True
2796212800109100145,oligodendrocyte_1,0,oligodendrocyte_1,oligodendrocyte_opc,True
2656143800130100125,oligodendrocyte_progenitor_2,2,oligodendrocyte_progenitor_2,oligodendrocyte_opc,True
2787445900654100050,oligodendrocyte_progenitor_2,3,oligodendrocyte_progenitor_2,oligodendrocyte_opc,True
2796212800297100083,DH_ex_Maf/Cck,3,DH_ex_Maf/Cck,neuronal_or_other,False
2795584800188100248,DH_ex_Maf/Cck,1,DH_ex_Maf/Cck,neuronal_or_other,False
2787445900364100165,oligodendrocyte_1,0,oligodendrocyte_1,oligodendrocyte_opc,True
2787445900582100058,oligodendrocyte_1,3,oligodendrocyte_1,oligodendrocyte_opc,True
2787889600132100226,oligodendrocyte_progenitor_2,0,oligodendrocyte_progenitor_2,oligodendrocyte_opc,True
2707604000056100183,oligodendrocyte_1,2,oligodendrocyte_1,oligodendrocyte_opc,True
2707604000073100035,astrocyte_2,2,astrocyte_2,astrocyte,True
2796212800333100154,DH_ex_Rreb1,0,DH_ex_Rreb1,neuronal_or_other,False
2946331700000018412,oligodendrocyte_2,0,oligodendrocyte_2,oligodendrocyte_opc,True
2787445900290100144,endothelial,3,endothelial,vascular,True
2795103300074100151,M_ex_Vsx2,1,M_ex_Vsx2,neuronal_or_other,False
2795584800185100279,DH_ex_Prkcg/Cck,1,DH_ex_Prkcg/Cck,neuronal_or_other,False
2726562800279100145,oligodendrocyte_progenitor_2,4,oligodendrocyte_progenitor_2,oligodendrocyte_opc,True
2656143800153100102,DH_ex_Maf/Cck,2,DH_ex_Maf/Cck,neuronal_or_other,False
2656144900531100064,endothelial,4,endothelial,vascular,True
2726562700215100157,DH_ex_Maf/Cck,1,DH_ex_Maf/Cck,neuronal_or_other,False
2796212800882100352,DH_ex_Rreb1,1,DH_ex_Rreb1,neuronal_or_other,False
2796212800356100047,astrocyte_2,3,astrocyte_2,astrocyte,True
2946331700000004413,DH_in_Npy2r,0,DH_in_Npy2r,neuronal_or_other,False
2795903600670100187,oligodendrocyte_progenitor_2,3,oligodendrocyte_progenitor_2,oligodendrocyte_opc,True
2707604700132100321,astrocyte_2,4,astrocyte_2,astrocyte,True
2795584800139100144,microglia,4,microglia,microglia,True
2795103300400100174,DH_ex_Reln/Nmur2,1,DH_ex_Reln/Nmur2,neuronal_or_other,False
2656144900536100103,endothelial,2,endothelial,vascular,True
2795584800476100046,oligodendrocyte_progenitor_2,3,oligodendrocyte_progenitor_2,oligodendrocyte_opc,True
