model,scheme,bin,left,right,n,mean_confidence,accuracy,abs_gap,ece,decile
M0,equal_width_ece,0.0,0.0,0.1,0,,,,0.10190883073364992,
M0,equal_width_ece,1.0,0.1,0.2,0,,,,0.10190883073364992,
M0,equal_width_ece,2.0,0.2,0.3,3,0.2753285060399422,0.6666666666666666,0.39133816062672444,0.10190883073364992,
M0,equal_width_ece,3.0,0.3,0.4,20,0.36546595938832516,0.4,0.034534040611674865,0.10190883073364992,
M0,equal_width_ece,4.0,0.4,0.5,81,0.4566392706195383,0.35802469135802467,0.09861457926151362,0.10190883073364992,
M0,equal_width_ece,5.0,0.5,0.6,209,0.5515960728592255,0.4880382775119617,0.0635577953472638,0.10190883073364992,
M0,equal_width_ece,6.0,0.6,0.7,226,0.6478139002844028,0.48672566371681414,0.16108823656758864,0.10190883073364992,
M0,equal_width_ece,7.0,0.7,0.8,261,0.7501786592094939,0.5057471264367817,0.24443153277271223,0.10190883073364992,
M0,equal_width_ece,8.0,0.8,0.9,345,0.8525063734738585,0.6115942028985507,0.24091217057530778,0.10190883073364992,
M0,equal_width_ece,9.0,0.9,1.0,3855,0.9896474261634088,0.9110246433203631,0.07862278284304569,0.10190883073364992,
M0,confidence_decile,,,,500,0.5596956120811933,0.458,,,1.0
M0,confidence_decile,,,,500,0.7782671342170424,0.55,,,2.0
M0,confidence_decile,,,,500,0.9178106619093016,0.668,,,3.0
M0,confidence_decile,,,,500,0.9750416819379277,0.756,,,4.0
M0,confidence_decile,,,,500,0.994229849659627,0.86,,,5.0
M0,confidence_decile,,,,500,0.9988381306349292,0.942,,,6.0
M0,confidence_decile,,,,500,0.9997729424572647,0.978,,,7.0
M0,confidence_decile,,,,500,0.9999739400948231,1.0,,,8.0
M0,confidence_decile,,,,500,0.9999995731679355,1.0,,,9.0
M0,confidence_decile,,,,500,1.0,1.0,,,10.0
M2,equal_width_ece,0.0,0.0,0.1,0,,,,0.09018041419659345,
M2,equal_width_ece,1.0,0.1,0.2,0,,,,0.09018041419659345,
M2,equal_width_ece,2.0,0.2,0.3,3,0.2890054736957259,0.3333333333333333,0.044327859637607436,0.09018041419659345,
M2,equal_width_ece,3.0,0.3,0.4,31,0.3701738116741719,0.2903225806451613,0.0798512310290106,0.09018041419659345,
M2,equal_width_ece,4.0,0.4,0.5,100,0.455766512306377,0.39,0.06576651230637698,0.09018041419659345,
M2,equal_width_ece,5.0,0.5,0.6,247,0.5493062516057065,0.4979757085020243,0.05133054310368218,0.09018041419659345,
M2,equal_width_ece,6.0,0.6,0.7,251,0.6505426597587498,0.5059760956175299,0.14456656414121993,0.09018041419659345,
M2,equal_width_ece,7.0,0.7,0.8,283,0.7525287290327186,0.568904593639576,0.1836241353931426,0.09018041419659345,
M2,equal_width_ece,8.0,0.8,0.9,367,0.8542039023879955,0.6239782016348774,0.2302257007531181,0.09018041419659345,
M2,equal_width_ece,9.0,0.9,1.0,3718,0.9887826072546552,0.9198493813878429,0.06893322586681228,0.09018041419659345,
M2,confidence_decile,,,,500,0.5356693386756433,0.468,,,1.0
M2,confidence_decile,,,,500,0.742231580822685,0.552,,,2.0
M2,confidence_decile,,,,500,0.8903831894156742,0.674,,,3.0
M2,confidence_decile,,,,500,0.963378950315864,0.78,,,4.0
M2,confidence_decile,,,,500,0.990369940144514,0.848,,,5.0
M2,confidence_decile,,,,500,0.9977943628574042,0.924,,,6.0
M2,confidence_decile,,,,500,0.9995068441022362,0.98,,,7.0
M2,confidence_decile,,,,500,0.9999385973454027,0.992,,,8.0
M2,confidence_decile,,,,500,0.9999994039708595,1.0,,,9.0
M2,confidence_decile,,,,500,1.0,1.0,,,10.0
