class,support,m0_recall,m2_recall,lzh_recall,m2_minus_m0,lzh_minus_m0,lzh_minus_m2,m0_f1,m2_f1,lzh_f1
DH_ex_Cpne4,26,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.0,-0.03846153846153855,0.8846153846153846,0.9230769230769231,0.9019607843137255
DH_ex_Gpr83,33,0.8181818181818182,0.8484848484848485,0.8787878787878788,0.030303030303030276,0.06060606060606055,0.030303030303030276,0.8307692307692308,0.8235294117647058,0.8656716417910447
DH_ex_Grp,26,0.6153846153846154,0.5384615384615384,0.5,-0.07692307692307698,-0.11538461538461542,-0.038461538461538436,0.6808510638297872,0.6086956521739131,0.6046511627906976
DH_ex_Grpr,31,0.8387096774193549,0.7741935483870968,0.8387096774193549,-0.06451612903225812,0.0,0.06451612903225812,0.8253968253968254,0.8,0.8524590163934426
DH_ex_Maf/Cck,64,0.875,0.953125,0.921875,0.078125,0.046875,-0.03125,0.7887323943661971,0.8079470198675497,0.7972972972972973
DH_ex_Maf/Cpne4,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.18181818181818182,0.2857142857142857,0.2222222222222222
DH_ex_Maf/Slc17a8,17,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.3,0.3,0.3
DH_ex_Nmu/Tac2,64,0.96875,0.96875,0.984375,0.0,0.015625,0.015625,0.9538461538461539,0.9538461538461539,0.9618320610687023
DH_ex_Prkcg/Cck,33,0.5757575757575758,0.5757575757575758,0.5454545454545454,0.0,-0.030303030303030387,-0.030303030303030387,0.6229508196721312,0.59375,0.6
DH_ex_Prkcg/Nts,52,0.6923076923076923,0.6538461538461539,0.6923076923076923,-0.038461538461538436,0.0,0.038461538461538436,0.72,0.6666666666666666,0.7128712871287128
DH_ex_Prkcg/Rxfp1,30,0.8333333333333334,0.8,0.8666666666666667,-0.033333333333333326,0.033333333333333326,0.06666666666666665,0.746268656716418,0.7058823529411765,0.7428571428571429
DH_ex_Reln,33,0.9393939393939394,0.9393939393939394,0.9696969696969697,0.0,0.030303030303030276,0.030303030303030276,0.96875,0.96875,0.9846153846153847
DH_ex_Reln/Nmur2,67,0.9552238805970149,0.9701492537313433,0.9701492537313433,0.014925373134328401,0.014925373134328401,0.0,0.9552238805970149,0.9701492537313433,0.9629629629629629
DH_ex_Reln/Npff,36,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
DH_ex_Rreb1,9,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,-0.1111111111111111,-0.2222222222222222,0.10526315789473684,0.2857142857142857,0.0
DH_ex_Sox5,48,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
DH_ex_Sox5/Tac1,34,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
DH_ex_Tac2,32,0.78125,0.75,0.78125,-0.03125,0.0,0.03125,0.704225352112676,0.7164179104477612,0.7142857142857143
DH_in_Cdh3,124,0.967741935483871,0.9838709677419355,1.0,0.016129032258064502,0.032258064516129004,0.016129032258064502,0.9056603773584906,0.9138576779026217,0.9219330855018587
DH_in_Kcnip2,8,0.375,0.375,0.375,0.0,0.0,0.0,0.4,0.42857142857142855,0.46153846153846156
DH_in_Klhl14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH_in_Npy,54,1.0,1.0,1.0,0.0,0.0,0.0,0.9908256880733946,0.9908256880733946,1.0
DH_in_Npy2r,38,0.8947368421052632,0.9210526315789473,0.9473684210526315,0.02631578947368418,0.05263157894736836,0.02631578947368418,0.8831168831168831,0.8974358974358975,0.9113924050632911
DH_in_Pdyn,59,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
DH_in_Pdyn/Gal,26,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
DH_in_Rorb,29,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
DM_ex_Zfhx3,133,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
MV_ex_Shox2,42,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
MV_ex_Syt2,113,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
MV_in_Chrna2,22,0.9545454545454546,0.9090909090909091,0.9545454545454546,-0.045454545454545525,0.0,0.045454545454545525,0.9333333333333333,0.8888888888888888,0.9333333333333333
MV_in_Esrrb,63,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
MV_in_Gabra1,145,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
MV_in_Gm26673,110,0.9818181818181818,0.9727272727272728,0.9818181818181818,-0.009090909090909038,0.0,0.009090909090909038,0.9863013698630136,0.9771689497716894,0.9863013698630136
MV_in_Sema5b,94,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
M_ex_Neurod2,11,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
M_ex_Vsx2,26,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.0,-0.03846153846153855,0.92,0.9411764705882353,0.92
M_ex_Vsx2/Shox2,23,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.0,0.0,0.0,0.9166666666666666,0.9361702127659575,0.9166666666666666
M_in_Tfap2b,73,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Schwann_cell,49,0.9591836734693877,0.9795918367346939,0.9795918367346939,0.020408163265306145,0.020408163265306145,0.0,0.8703703703703703,0.8807339449541285,0.8807339449541285
VH_in_Chat,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
alpha_motoneuron,107,0.9439252336448598,0.9345794392523364,0.9439252336448598,-0.009345794392523366,0.0,0.009345794392523366,0.8898678414096917,0.8849557522123894,0.8977777777777778
astrocyte_1,573,0.8586387434554974,0.8673647469458988,0.8708551483420593,0.008726003490401424,0.012216404886561949,0.003490401396160525,0.8241206030150754,0.8194558944765046,0.8309741881765196
astrocyte_2,196,0.7602040816326531,0.75,0.7397959183673469,-0.010204081632653073,-0.020408163265306145,-0.010204081632653073,0.8032345013477089,0.8010899182561307,0.7988980716253443
beta_motoneuron,14,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.07142857142857151,0.07142857142857151,0.0,0.5714285714285714,0.6428571428571429,0.6428571428571429
cholinergic_interneuron,7,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
endothelial,323,0.7739938080495357,0.7770897832817337,0.7801857585139319,0.003095975232198067,0.006191950464396245,0.003095975232198178,0.7874015748031497,0.7993630573248408,0.7974683544303798
ependymal,10,0.7,0.8,1.0,0.10000000000000009,0.30000000000000004,0.19999999999999996,0.8235294117647058,0.8421052631578947,0.9523809523809523
gamma_motoneuron,48,0.7083333333333334,0.7083333333333334,0.7291666666666666,0.0,0.02083333333333326,0.02083333333333326,0.8192771084337349,0.8095238095238095,0.8235294117647058
meninges_1,67,0.8955223880597015,0.8059701492537313,0.835820895522388,-0.08955223880597019,-0.059701492537313494,0.02985074626865669,0.7272727272727273,0.7012987012987013,0.7225806451612903
meninges_2,42,0.38095238095238093,0.3333333333333333,0.42857142857142855,-0.047619047619047616,0.047619047619047616,0.09523809523809523,0.5245901639344263,0.4444444444444444,0.5294117647058824
meninges_3,19,0.47368421052631576,0.631578947368421,0.5263157894736842,0.15789473684210525,0.05263157894736842,-0.10526315789473684,0.5142857142857142,0.5714285714285714,0.5263157894736842
microglia,64,0.6875,0.734375,0.71875,0.046875,0.03125,-0.015625,0.7521367521367521,0.8034188034188035,0.7666666666666667
oligodendrocyte_1,271,0.45018450184501846,0.4575645756457565,0.43911439114391143,0.0073800738007380184,-0.011070110701107028,-0.018450184501845046,0.4949290060851927,0.5030425963488844,0.49072164948453606
oligodendrocyte_2,419,0.883054892601432,0.8758949880668258,0.9116945107398569,-0.007159904534606243,0.02863961813842486,0.0357995226730311,0.8564814814814815,0.8495370370370371,0.8536312849162011
oligodendrocyte_precursor_cell,110,0.6272727272727273,0.6363636363636364,0.6727272727272727,0.009090909090909038,0.045454545454545414,0.036363636363636376,0.6359447004608295,0.6511627906976745,0.6727272727272727
oligodendrocyte_progenitor_1,49,0.42857142857142855,0.3673469387755102,0.3877551020408163,-0.061224489795918324,-0.040816326530612235,0.02040816326530609,0.5753424657534246,0.5070422535211268,0.5352112676056338
oligodendrocyte_progenitor_2,703,0.7894736842105263,0.7937411095305832,0.7837837837837838,0.004267425320056861,-0.005689900426742556,-0.009957325746799417,0.7545887151597552,0.7602179836512262,0.7621023513139695
pericyte,40,0.425,0.325,0.375,-0.09999999999999998,-0.04999999999999999,0.04999999999999999,0.576271186440678,0.4642857142857143,0.5172413793103449
peripheral_glia,23,0.4782608695652174,0.4782608695652174,0.43478260869565216,0.0,-0.043478260869565244,-0.043478260869565244,0.6111111111111112,0.6111111111111112,0.5882352941176471
visceral_motoneuron,8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
