Section_ID,n,m0_correct,m2_correct,lzh_correct,m2_m0_correct_delta,lzh_m0_correct_delta,lzh_m2_correct_delta,m2_m0_accuracy_delta,lzh_m0_accuracy_delta,lzh_m2_accuracy_delta
0328_F1_C,78,61,60,61,-1,0,1,-0.01282051282051282,0.0,0.01282051282051282
0328_F1_L,1,1,1,1,0,0,0,0.0,0.0,0.0
0328_F1_S,14,13,12,13,-1,0,1,-0.07142857142857142,0.0,0.07142857142857142
0328_F1_T,26,21,21,22,0,1,1,0.0,0.038461538461538464,0.038461538461538464
0328_F2_C,8,6,6,6,0,0,0,0.0,0.0,0.0
0328_F2_L,29,26,26,26,0,0,0,0.0,0.0,0.0
0328_F2_T,39,32,30,31,-2,-1,1,-0.05128205128205128,-0.02564102564102564,0.02564102564102564
0328_M1_C,102,87,85,84,-2,-3,-1,-0.0196078431372549,-0.029411764705882353,-0.00980392156862745
0328_M1_L,70,59,59,61,0,2,2,0.0,0.02857142857142857,0.02857142857142857
0328_M1_S,20,14,15,16,1,2,1,0.05,0.1,0.05
0328_M1_T,34,27,27,27,0,0,0,0.0,0.0,0.0
0328_M2_C,57,47,45,46,-2,-1,1,-0.03508771929824561,-0.017543859649122806,0.017543859649122806
0328_M2_L,84,65,68,67,3,2,-1,0.03571428571428571,0.023809523809523808,-0.011904761904761904
0328_M2_T,38,34,35,33,1,-1,-2,0.02631578947368421,-0.02631578947368421,-0.05263157894736842
0328_M3_C,110,93,95,95,2,2,0,0.01818181818181818,0.01818181818181818,0.0
0328_M3_L,49,38,39,39,1,1,0,0.02040816326530612,0.02040816326530612,0.0
0328_M3_T,45,34,34,35,0,1,1,0.0,0.022222222222222223,0.022222222222222223
0415_F1_L,100,73,70,77,-3,4,7,-0.03,0.04,0.07
0415_F1_S,20,15,12,13,-3,-2,1,-0.15,-0.1,0.05
0415_F1_T,30,25,24,24,-1,-1,0,-0.03333333333333333,-0.03333333333333333,0.0
0415_F2_C,105,94,93,94,-1,0,1,-0.009523809523809525,0.0,0.009523809523809525
0415_F2_L,95,72,73,74,1,2,1,0.010526315789473684,0.021052631578947368,0.010526315789473684
0415_F2_S,17,13,12,13,-1,0,1,-0.058823529411764705,0.0,0.058823529411764705
0415_F2_T,47,39,38,39,-1,0,1,-0.02127659574468085,0.0,0.02127659574468085
0415_M1_C,79,69,70,70,1,1,0,0.012658227848101266,0.012658227848101266,0.0
0415_M1_L,80,68,67,68,-1,0,1,-0.0125,0.0,0.0125
0415_M1_S,28,22,22,22,0,0,0,0.0,0.0,0.0
0415_M1_T,30,26,26,26,0,0,0,0.0,0.0,0.0
0415_M2_C,77,66,68,68,2,2,0,0.025974025974025976,0.025974025974025976,0.0
0415_M2_L,90,73,80,77,7,4,-3,0.07777777777777778,0.044444444444444446,-0.03333333333333333
0415_M2_T,75,64,63,63,-1,-1,0,-0.013333333333333334,-0.013333333333333334,0.0
0415_M3_L,102,90,94,93,4,3,-1,0.0392156862745098,0.029411764705882353,-0.00980392156862745
0415_M3_S,46,42,39,40,-3,-2,1,-0.06521739130434782,-0.043478260869565216,0.021739130434782608
0415_M3_T,60,48,46,48,-2,0,2,-0.03333333333333333,0.0,0.03333333333333333
0422_F1_C,17,14,13,14,-1,0,1,-0.058823529411764705,0.0,0.058823529411764705
0422_F1_L,14,9,9,9,0,0,0,0.0,0.0,0.0
0422_F1_S,4,2,2,2,0,0,0,0.0,0.0,0.0
0422_F1_T,6,6,5,5,-1,-1,0,-0.16666666666666666,-0.16666666666666666,0.0
0422_F2_C,6,5,5,4,0,-1,-1,0.0,-0.16666666666666666,-0.16666666666666666
0422_F2_L,16,13,13,13,0,0,0,0.0,0.0,0.0
0422_F2_T,3,2,2,2,0,0,0,0.0,0.0,0.0
0422_M1_C,12,6,6,7,0,1,1,0.0,0.08333333333333333,0.08333333333333333
0422_M1_L,1,1,1,1,0,0,0,0.0,0.0,0.0
0422_M1_S,2,2,2,2,0,0,0,0.0,0.0,0.0
0422_M2_C,9,7,7,8,0,1,1,0.0,0.1111111111111111,0.1111111111111111
0422_M2_L,7,5,6,5,1,0,-1,0.14285714285714285,0.0,-0.14285714285714285
0422_M2_T,1,0,0,0,0,0,0,0.0,0.0,0.0
0422_M3_C,20,15,14,14,-1,-1,0,-0.05,-0.05,0.0
0422_M3_L,13,10,10,11,0,1,1,0.0,0.07692307692307693,0.07692307692307693
0422_M3_S,1,1,1,1,0,0,0,0.0,0.0,0.0
0422_M3_T,5,4,4,3,0,-1,-1,0.0,-0.2,-0.2
0503_F3_C,179,145,146,146,1,1,0,0.00558659217877095,0.00558659217877095,0.0
0503_F3_L,58,50,50,51,0,1,1,0.0,0.017241379310344827,0.017241379310344827
0503_F3_S,45,42,41,41,-1,-1,0,-0.022222222222222223,-0.022222222222222223,0.0
0503_F3_T,47,43,41,42,-2,-1,1,-0.0425531914893617,-0.02127659574468085,0.02127659574468085
0503_F4_C,235,198,195,198,-3,0,3,-0.01276595744680851,0.0,0.01276595744680851
0503_F4_S,8,5,5,5,0,0,0,0.0,0.0,0.0
0503_F4_T,54,46,44,47,-2,1,3,-0.037037037037037035,0.018518518518518517,0.05555555555555555
0503_F5_C,92,73,73,73,0,0,0,0.0,0.0,0.0
0503_F5_L,38,33,35,35,2,2,0,0.05263157894736842,0.05263157894736842,0.0
0503_F5_S,36,34,33,33,-1,-1,0,-0.027777777777777776,-0.027777777777777776,0.0
0503_F5_T,72,64,63,64,-1,0,1,-0.013888888888888888,0.0,0.013888888888888888
0503_M4_C,145,114,113,113,-1,-1,0,-0.006896551724137931,-0.006896551724137931,0.0
0503_M4_L,90,77,75,75,-2,-2,0,-0.022222222222222223,-0.022222222222222223,0.0
0503_M4_S,34,29,29,28,0,-1,-1,0.0,-0.029411764705882353,-0.029411764705882353
0503_M4_T,66,48,49,49,1,1,0,0.015151515151515152,0.015151515151515152,0.0
0503_M5_C,131,106,104,104,-2,-2,0,-0.015267175572519083,-0.015267175572519083,0.0
0503_M5_S,33,27,28,29,1,2,1,0.030303030303030304,0.06060606060606061,0.030303030303030304
0503_M5_T,50,42,42,43,0,1,1,0.0,0.02,0.02
0610_F3_C,35,25,27,26,2,1,-1,0.05714285714285714,0.02857142857142857,-0.02857142857142857
0610_F3_L,47,40,42,41,2,1,-1,0.0425531914893617,0.02127659574468085,-0.02127659574468085
0610_F3_S,39,34,35,34,1,0,-1,0.02564102564102564,0.0,-0.02564102564102564
0610_F3_T,35,33,33,34,0,1,1,0.0,0.02857142857142857,0.02857142857142857
0610_F4_C,38,31,31,33,0,2,2,0.0,0.05263157894736842,0.05263157894736842
0610_F4_L,78,61,59,61,-2,0,2,-0.02564102564102564,0.0,0.02564102564102564
0610_F4_S,25,20,20,22,0,2,2,0.0,0.08,0.08
0610_F4_T,51,37,35,37,-2,0,2,-0.0392156862745098,0.0,0.0392156862745098
0610_F5_C,18,15,14,14,-1,-1,0,-0.05555555555555555,-0.05555555555555555,0.0
