slice,slice_display,n,M0,M2,LZH,M2_minus_M0,LZH_minus_M0,LZH_minus_M2
hard_bucket,hard bucket,2958,0.7569303583502367,0.7569303583502367,0.762001352265044,0.0,0.005070993914807254,0.005070993914807254
non_hard_bucket,non-hard bucket,2042,0.9142997061704211,0.9157688540646425,0.9201762977473066,0.0014691478942213676,0.00587659157688547,0.004407443682664103
neuron,neuron,1858,0.9198062432723358,0.9214208826695371,0.9251883745963402,0.0016146393972013007,0.005382131324004336,0.003767491926803035
glial,glial / non-neuronal,3142,0.7628898790579249,0.7628898790579249,0.7683004455760662,0.0,0.005410566518141313,0.005410566518141313
oligodendrocyte_opc,oligodendrocyte / OPC,1552,0.7326030927835051,0.7326030927835051,0.7377577319587629,0.0,0.005154639175257825,0.005154639175257825
astrocyte,astrocyte,769,0.8335500650195059,0.8374512353706112,0.8374512353706112,0.0039011703511052653,0.0039011703511052653,0.0
vascular,vascular / endothelial,363,0.7355371900826446,0.7272727272727273,0.7355371900826446,-0.008264462809917328,0.0,0.008264462809917328
meningeal,meningeal,128,0.6640625,0.625,0.65625,-0.0390625,-0.0078125,0.03125
microglia,microglia,64,0.6875,0.734375,0.71875,0.046875,0.03125,-0.015625
remaining_glial_non_neuronal,remaining glial,82,0.7926829268292683,0.8170731707317073,0.8292682926829268,0.024390243902438935,0.03658536585365846,0.012195121951219523
neuronal_or_other,neuronal / other,2042,0.9142997061704211,0.9157688540646425,0.9201762977473066,0.0014691478942213676,0.00587659157688547,0.004407443682664103
