class,support,m0_recall,m2_recall,lzh_recall,m2_minus_m0,lzh_minus_m0,lzh_minus_m2,m0_f1,m2_f1,lzh_f1
meninges_3,19,0.47368421052631576,0.631578947368421,0.5263157894736842,0.15789473684210525,0.05263157894736842,-0.10526315789473684,0.5142857142857142,0.5714285714285714,0.5263157894736842
DH_ex_Rreb1,9,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,-0.1111111111111111,-0.2222222222222222,0.10526315789473684,0.2857142857142857,0.0
ependymal,10,0.7,0.8,1.0,0.10000000000000009,0.30000000000000004,0.19999999999999996,0.8235294117647058,0.8421052631578947,0.9523809523809523
DH_ex_Maf/Cck,64,0.875,0.953125,0.921875,0.078125,0.046875,-0.03125,0.7887323943661971,0.8079470198675497,0.7972972972972973
beta_motoneuron,14,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.07142857142857151,0.07142857142857151,0.0,0.5714285714285714,0.6428571428571429,0.6428571428571429
microglia,64,0.6875,0.734375,0.71875,0.046875,0.03125,-0.015625,0.7521367521367521,0.8034188034188035,0.7666666666666667
DH_ex_Cpne4,26,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.0,-0.03846153846153855,0.8846153846153846,0.9230769230769231,0.9019607843137255
M_ex_Vsx2,26,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.0,-0.03846153846153855,0.92,0.9411764705882353,0.92
DH_ex_Gpr83,33,0.8181818181818182,0.8484848484848485,0.8787878787878788,0.030303030303030276,0.06060606060606055,0.030303030303030276,0.8307692307692308,0.8235294117647058,0.8656716417910447
DH_in_Npy2r,38,0.8947368421052632,0.9210526315789473,0.9473684210526315,0.02631578947368418,0.05263157894736836,0.02631578947368418,0.8831168831168831,0.8974358974358975,0.9113924050632911
