class,support,m0_recall,m2_recall,lzh_recall,m2_minus_m0,lzh_minus_m0,lzh_minus_m2,m0_f1,m2_f1,lzh_f1
pericyte,40,0.425,0.325,0.375,-0.09999999999999998,-0.04999999999999999,0.04999999999999999,0.576271186440678,0.4642857142857143,0.5172413793103449
meninges_1,67,0.8955223880597015,0.8059701492537313,0.835820895522388,-0.08955223880597019,-0.059701492537313494,0.02985074626865669,0.7272727272727273,0.7012987012987013,0.7225806451612903
DH_ex_Grp,26,0.6153846153846154,0.5384615384615384,0.5,-0.07692307692307698,-0.11538461538461542,-0.038461538461538436,0.6808510638297872,0.6086956521739131,0.6046511627906976
DH_ex_Grpr,31,0.8387096774193549,0.7741935483870968,0.8387096774193549,-0.06451612903225812,0.0,0.06451612903225812,0.8253968253968254,0.8,0.8524590163934426
oligodendrocyte_progenitor_1,49,0.42857142857142855,0.3673469387755102,0.3877551020408163,-0.061224489795918324,-0.040816326530612235,0.02040816326530609,0.5753424657534246,0.5070422535211268,0.5352112676056338
meninges_2,42,0.38095238095238093,0.3333333333333333,0.42857142857142855,-0.047619047619047616,0.047619047619047616,0.09523809523809523,0.5245901639344263,0.4444444444444444,0.5294117647058824
MV_in_Chrna2,22,0.9545454545454546,0.9090909090909091,0.9545454545454546,-0.045454545454545525,0.0,0.045454545454545525,0.9333333333333333,0.8888888888888888,0.9333333333333333
DH_ex_Prkcg/Nts,52,0.6923076923076923,0.6538461538461539,0.6923076923076923,-0.038461538461538436,0.0,0.038461538461538436,0.72,0.6666666666666666,0.7128712871287128
DH_ex_Prkcg/Rxfp1,30,0.8333333333333334,0.8,0.8666666666666667,-0.033333333333333326,0.033333333333333326,0.06666666666666665,0.746268656716418,0.7058823529411765,0.7428571428571429
DH_ex_Tac2,32,0.78125,0.75,0.78125,-0.03125,0.0,0.03125,0.704225352112676,0.7164179104477612,0.7142857142857143
